image_path,cell_size,cell_shape,nucleus_shape,nuclear_cytoplasmic_ratio,chromatin_density,cytoplasm_vacuole,cytoplasm_texture,cytoplasm_colour,granule_type,granule_colour,granularity
demo_data/images/Band_Neutrophil/BNE_7323.jpg,big,round,unsegmented-band,low,densely,no,clear,light blue,small,pink,yes
demo_data/images/Band_Neutrophil/BNE_25765.jpg,big,irregular,unsegmented-band,low,densely,no,clear,light blue,small,purple,yes
demo_data/images/Eosinophil/EO_7922.jpg,big,round,unsegmented-band,low,densely,no,clear,light blue,round,red,yes
demo_data/images/Eosinophil/EO_8741.jpg,big,round,segmented-bilobed,low,densely,no,clear,light blue,round,red,yes
demo_data/images/Eosinophil/EO_9265.jpg,big,round,segmented-bilobed,low,densely,no,clear,light blue,round,red,yes
demo_data/images/Eosinophil/EO_10150.jpg,small,round,segmented-bilobed,low,densely,no,clear,light blue,round,red,yes
demo_data/images/Basophil/BA_25245.jpg,small,round,segmented-bilobed,low,densely,no,clear,light blue,coarse,purple,yes
demo_data/images/Basophil/BA_31317.jpg,big,irregular,irregular,low,densely,no,clear,light blue,coarse,purple,yes
demo_data/images/Lymphocyte/LY_48852.jpg,small,round,unsegmented-indented,high,densely,no,frosted,blue,nil,nil,no
demo_data/images/Lymphocyte/LY_51625.jpg,small,round,unsegmented-round,high,densely,no,clear,light blue,nil,nil,no
demo_data/images/Lymphocyte/LY_65073.jpg,small,irregular,unsegmented-round,high,densely,no,clear,blue,nil,nil,no
demo_data/images/Lymphocyte/LY_68814.jpg,small,round,unsegmented-round,high,densely,no,frosted,blue,nil,nil,no
demo_data/images/Monocyte/MO_28078.jpg,small,round,unsegmented-indented,high,loosely,no,frosted,blue,nil,nil,no
demo_data/images/Monocyte/MO_38254.jpg,small,irregular,unsegmented-indented,low,loosely,no,frosted,blue,nil,nil,no
demo_data/images/Basophil/BA_127868.jpg,small,round,irregular,low,densely,no,clear,light blue,coarse,purple,yes
demo_data/images/Basophil/BA_136209.jpg,small,round,unsegmented-round,high,densely,no,clear,light blue,coarse,purple,yes
demo_data/images/Basophil/BA_139275.jpg,big,round,segmented-bilobed,low,densely,no,clear,light blue,coarse,purple,yes
demo_data/images/Basophil/BA_178358.jpg,small,round,irregular,low,densely,no,clear,light blue,coarse,purple,yes
demo_data/images/Basophil/BA_178853.jpg,big,round,segmented-multilobed,low,densely,no,clear,light blue,coarse,purple,yes
demo_data/images/Basophil/BA_184105.jpg,small,round,unsegmented-indented,low,densely,no,clear,light blue,coarse,purple,yes
demo_data/images/Basophil/BA_189696.jpg,big,round,irregular,low,densely,no,clear,light blue,coarse,purple,yes
demo_data/images/Basophil/BA_193488.jpg,small,round,unsegmented-round,low,densely,no,clear,light blue,coarse,purple,yes
demo_data/images/Basophil/BA_193863.jpg,small,round,irregular,low,densely,no,clear,light blue,coarse,purple,yes
demo_data/images/Basophil/BA_196745.jpg,big,round,irregular,low,densely,no,clear,light blue,coarse,purple,yes
demo_data/images/Basophil/BA_200989.jpg,small,round,irregular,low,densely,no,clear,light blue,coarse,purple,yes
demo_data/images/Basophil/BA_210917.jpg,big,round,irregular,low,densely,no,clear,light blue,coarse,purple,yes
demo_data/images/Basophil/BA_223705.jpg,small,round,irregular,low,densely,no,clear,light blue,coarse,purple,yes
demo_data/images/Basophil/BA_232284.jpg,big,round,irregular,low,densely,no,clear,light blue,coarse,purple,yes
demo_data/images/Basophil/BA_236096.jpg,small,round,segmented-bilobed,low,densely,no,clear,light blue,coarse,purple,yes
