image_path,source_dataset,original_label,claricyte_label,split
demo_data/images/Band_Neutrophil/BNE_422954.jpg,acevedo,BNE,Band Neutrophil,val
demo_data/images/Lymphocyte/LY_883318.jpg,acevedo,lymphocyte,Lymphocyte,val
demo_data/images/Monocyte/MO_173558.jpg,acevedo,monocyte,Monocyte,val
demo_data/images/Eosinophil/EO_31665.jpg,acevedo,eosinophil,Eosinophil,val
demo_data/images/Eosinophil/EO_652701.jpg,acevedo,eosinophil,Eosinophil,val
demo_data/images/Eosinophil/EO_128458.jpg,acevedo,eosinophil,Eosinophil,val
demo_data/images/Eosinophil/EO_530891.jpg,acevedo,eosinophil,Eosinophil,val
demo_data/images/Lymphocyte/LY_550491.jpg,acevedo,lymphocyte,Lymphocyte,val
demo_data/images/Segmented_Neutrophil/SNE_994402.jpg,acevedo,SNE,Segmented Neutrophil,val
demo_data/images/Monocyte/MO_187322.jpg,acevedo,monocyte,Monocyte,val
demo_data/images/Lymphocyte/LY_517156.jpg,acevedo,lymphocyte,Lymphocyte,val
demo_data/images/Eosinophil/EO_645275.jpg,acevedo,eosinophil,Eosinophil,val
demo_data/images/Segmented_Neutrophil/SNE_819515.jpg,acevedo,SNE,Segmented Neutrophil,val
demo_data/images/Eosinophil/EO_378650.jpg,acevedo,eosinophil,Eosinophil,val
demo_data/images/Monocyte/MO_913613.jpg,acevedo,monocyte,Monocyte,val
demo_data/images/Band_Neutrophil/BNE_147698.jpg,acevedo,BNE,Band Neutrophil,val
demo_data/images/Segmented_Neutrophil/SNE_56069.jpg,acevedo,SNE,Segmented Neutrophil,val
demo_data/images/Eosinophil/EO_670082.jpg,acevedo,eosinophil,Eosinophil,val
demo_data/images/Segmented_Neutrophil/SNE_183790.jpg,acevedo,SNE,Segmented Neutrophil,val
demo_data/images/Monocyte/MO_283783.jpg,acevedo,monocyte,Monocyte,val
demo_data/images/Band_Neutrophil/BNE_863887.jpg,acevedo,BNE,Band Neutrophil,val
demo_data/images/Band_Neutrophil/BNE_6074.jpg,acevedo,BNE,Band Neutrophil,val
demo_data/images/Monocyte/MO_96000.jpg,acevedo,monocyte,Monocyte,val
demo_data/images/Basophil/BA_767164.jpg,acevedo,basophil,Basophil,val
demo_data/images/Eosinophil/EO_560727.jpg,acevedo,eosinophil,Eosinophil,val
demo_data/images/Basophil/BA_434177.jpg,acevedo,basophil,Basophil,val
demo_data/images/Eosinophil/EO_340201.jpg,acevedo,eosinophil,Eosinophil,val
demo_data/images/Eosinophil/EO_993513.jpg,acevedo,eosinophil,Eosinophil,val
demo_data/images/Eosinophil/EO_487653.jpg,acevedo,eosinophil,Eosinophil,val
demo_data/images/Eosinophil/EO_331664.jpg,acevedo,eosinophil,Eosinophil,val
demo_data/images/Monocyte/MO_399159.jpg,acevedo,monocyte,Monocyte,val
demo_data/images/Eosinophil/EO_739713.jpg,acevedo,eosinophil,Eosinophil,val
demo_data/images/Band_Neutrophil/BNE_850956.jpg,acevedo,BNE,Band Neutrophil,val
demo_data/images/Eosinophil/EO_458873.jpg,acevedo,eosinophil,Eosinophil,val
demo_data/images/Eosinophil/EO_637980.jpg,acevedo,eosinophil,Eosinophil,val
demo_data/images/Lymphocyte/LY_44395.jpg,acevedo,lymphocyte,Lymphocyte,val
demo_data/images/Eosinophil/EO_217076.jpg,acevedo,eosinophil,Eosinophil,val
demo_data/images/Basophil/BA_68896.jpg,acevedo,basophil,Basophil,val
demo_data/images/Segmented_Neutrophil/SNE_223437.jpg,acevedo,SNE,Segmented Neutrophil,val
demo_data/images/Monocyte/MO_113841.jpg,acevedo,monocyte,Monocyte,val
demo_data/images/Segmented_Neutrophil/SNE_491948.jpg,acevedo,SNE,Segmented Neutrophil,val
demo_data/images/Segmented_Neutrophil/SNE_614953.jpg,acevedo,SNE,Segmented Neutrophil,val
demo_data/images/Segmented_Neutrophil/SNE_352995.jpg,acevedo,SNE,Segmented Neutrophil,val
demo_data/images/Band_Neutrophil/BNE_195004.jpg,acevedo,BNE,Band Neutrophil,val
demo_data/images/Eosinophil/EO_323058.jpg,acevedo,eosinophil,Eosinophil,val
demo_data/images/Basophil/BA_35991.jpg,acevedo,basophil,Basophil,val
demo_data/images/Segmented_Neutrophil/SNE_401509.jpg,acevedo,SNE,Segmented Neutrophil,val
demo_data/images/Eosinophil/EO_949664.jpg,acevedo,eosinophil,Eosinophil,val
demo_data/images/Monocyte/MO_429133.jpg,acevedo,monocyte,Monocyte,val
demo_data/images/Segmented_Neutrophil/SNE_248543.jpg,acevedo,SNE,Segmented Neutrophil,val
